procs rep real user sys
2 1 21.920896 15.016458 6.884572
2 2 20.999153 14.700502 6.281282
2 3 20.953137 14.714899 6.216528
2 4 22.329906 15.708869 6.610109
2 5 20.866437 14.503591 6.340612
2 6 20.577457 14.519746 6.044497
2 7 23.446836 16.484478 6.943117
2 8 22.229953 15.536506 6.687074
2 9 20.910626 14.602475 6.298244
2 10 20.482388 14.245026 6.218172
3 1 11.383261 7.381815 3.988429
3 2 12.072245 7.983761 4.069708
3 3 11.895085 7.746492 4.128406
3 4 11.971044 7.863381 4.094627
3 5 12.423973 8.518925 3.893395
3 6 11.700415 7.720610 3.960183
3 7 11.749579 7.776428 3.955015
3 8 11.307075 7.526229 3.773068
3 9 12.045737 8.204460 3.832078
3 10 12.132141 8.145373 3.971933
4 1 8.901725 5.705877 3.178997
4 2 9.213274 6.017672 3.175149
4 3 9.342067 6.202231 3.121589
4 4 10.461952 6.843037 3.607569
4 5 9.329044 6.055812 3.259091
4 6 8.963850 5.829717 3.125319
4 7 9.301552 6.182110 3.106024
4 8 8.879359 5.676738 3.190644
4 9 8.557412 5.349647 3.188577
4 10 8.644409 5.424735 3.203174
5 1 1.126378 0.819067 0.304883
5 2 1.110810 0.818621 0.291317
5 3 1.211137 0.748226 0.458591
5 4 1.124306 0.848542 0.272848
5 5 1.160502 0.809304 0.347750
5 6 1.167378 0.756948 0.405280
5 7 1.178584 0.776794 0.399886
5 8 1.165977 0.841597 0.320618
5 9 1.080805 0.831749 0.246133
5 10 1.147082 0.792084 0.350118
6 1 1.322869 0.881643 0.437914
6 2 1.347008 0.838860 0.503476
6 3 1.312469 0.807669 0.496754
6 4 1.368703 0.838388 0.525150
6 5 1.326587 0.812560 0.507389
6 6 1.344933 0.814663 0.525448
6 7 1.321716 0.845244 0.472650
6 8 1.185660 0.756498 0.424260
6 9 1.296639 0.797054 0.498163
6 10 1.309101 0.823806 0.481490
7 1 1.477437 0.836597 0.636723
7 2 1.446150 0.837807 0.604021
7 3 1.502667 0.807730 0.690975
7 4 1.331145 0.753091 0.572302
7 5 1.433176 0.883626 0.545354
7 6 1.381191 0.836511 0.539897
7 7 1.465449 0.864999 0.596088
7 8 1.421420 0.863499 0.554607
7 9 1.426891 0.861738 0.560560
7 10 1.423524 0.845273 0.573436
8 1 1.564503 0.881637 0.677738
8 2 1.664050 0.923422 0.729690
8 3 1.573035 0.913566 0.654246
8 4 1.548317 0.916976 0.626847
8 5 1.508238 0.899637 0.603775
8 6 1.767400 1.119822 0.638540
8 7 1.517672 0.818263 0.694506
8 8 1.047243 0.698997 0.345474
8 9 1.599134 0.849203 0.744631
8 10 1.437686 0.864564 0.568393
